"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"NTPC Green Energy Ltd","NTPCGREEN","544289","Utilities","1942766741.82","2025604000","0.55","18206042","50078","0.28","/mutual-fund/holding-history/6337/2789016/"
"Timken India Ltd","TIMKEN","522113","Industrials","2086098160.9","2019338000","0.55","646271","","","/mutual-fund/holding-history/6337/1399/"
"GlaxoSmithKline Pharmaceuticals Ltd","GLAXO","500660","Healthcare","1824576000","1843917000","0.5","559000","","","/mutual-fund/holding-history/6337/463/"
"Bank of India","BANKINDIA","532149","Financial Services","1735795000","1768130000","0.48","14500000","","","/mutual-fund/holding-history/6337/163/"
"3M India Ltd","3MINDIA","523395","Industrials","1736100000","1756500000","0.48","60000","","","/mutual-fund/holding-history/6337/10/"
"Sanofi Consumer Healthcare India Ltd","SANOFICONR","544250","Healthcare","1677319480","1739592000","0.47","330181","","","/mutual-fund/holding-history/6337/2638456/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","1710290120","1723432000","0.47","303512","","","/mutual-fund/holding-history/6337/169/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","1789261285","1662829000","0.45","302470","","","/mutual-fund/holding-history/6337/683/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","1557955634.1","1661306000","0.45","1675041","","","/mutual-fund/holding-history/6337/238/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","1580503701.4","1639934000","0.45","1597598","","","/mutual-fund/holding-history/6337/1313/"
"Sona BLW Precision Forgings Ltd","SONACOMS","543300","Consumer Cyclical","1427775182.75","1625276000","0.44","2987915","","","/mutual-fund/holding-history/6337/547977/"
"NMDC Ltd","NMDC","526371","Basic Materials","1542360218.31","1603181000","0.44","22526073","","","/mutual-fund/holding-history/6337/949/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1615747089","1555441000","0.42","614119","","","/mutual-fund/holding-history/6337/1090/"
